Date,Open,High,Low,Close,Adj Close,Volume
1995-06-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-07-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-08-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-09-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-10-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-11-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1995-12-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1996-01-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1996-02-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1996-03-01,8.050000,8.050000,8.050000,8.050000,6.677534,0
1996-04-01,8.050000,8.400000,6.450000,7.200000,5.972451,19072000
1996-05-01,7.200000,7.250000,6.550000,6.800000,5.640649,6875000
1996-06-01,6.900000,8.600000,6.800000,7.800000,6.470156,16808500
1996-07-01,8.000000,8.150000,6.600000,7.100000,5.889502,14685500
1996-08-01,7.150000,7.600000,6.700000,7.200000,5.972451,4364000
1996-09-01,7.450000,7.550000,7.000000,7.250000,6.013927,2769000
1996-10-01,7.200000,7.850000,6.500000,7.550000,6.262780,4298000
1996-11-01,7.600000,7.950000,7.300000,7.650000,6.345731,2191500
1996-12-01,7.600000,8.050000,7.400000,8.050000,6.677534,1272500
1997-01-01,8.250000,10.800000,8.100000,9.050000,7.507040,10587000
1997-02-01,9.050000,9.650000,8.800000,9.350000,7.755894,5549000
1997-03-01,10.550000,11.300000,9.300000,9.300000,7.714418,11622000
1997-04-01,9.000000,11.800000,8.800000,11.500000,9.539332,6303000
1997-05-01,11.500000,12.700000,10.900000,11.300000,9.373433,12586005
1997-06-01,11.550000,13.150000,11.550000,12.350000,10.244417,14388500
1997-07-01,12.400000,15.200000,12.400000,14.800000,12.355152,17070500
1997-08-01,14.850000,15.300000,12.950000,13.550000,11.311645,6047000
1997-09-01,13.900000,14.750000,13.350000,13.900000,11.603825,3708500
1997-10-01,13.850000,17.600000,13.600000,16.250000,13.565621,10815500
1997-11-01,16.250000,16.350000,13.450000,14.300000,11.937749,4475000
1997-12-01,14.000000,16.049999,13.900000,15.600000,13.022999,5573000
1998-01-01,19.000000,20.100000,14.000000,14.250000,11.896008,9430750
1998-02-01,14.750000,14.750000,12.300000,14.120000,11.787480,13455500
1998-03-01,15.000000,15.600000,13.620000,14.290000,11.929399,12485025
1998-04-01,14.300000,17.500000,14.300000,15.290000,12.764209,29592500
1998-05-01,15.290000,15.900000,13.110000,13.830000,11.545388,11483500
1998-06-01,14.100000,14.800000,11.020000,12.850000,10.727280,8987500
1998-07-01,12.450000,14.200000,11.250000,12.890000,10.845601,16394500
1998-08-01,12.420000,12.850000,11.120000,11.610000,9.768612,21228500
1998-09-01,11.520000,14.530000,11.250000,12.940000,10.887671,16940500
1998-10-01,12.940000,12.940000,10.000000,10.540000,8.868320,7701500
1998-11-01,10.600000,11.830000,9.700000,10.260000,8.632729,19696500
1998-12-01,10.200000,11.440000,10.010000,10.950000,9.213290,9433500
1999-01-01,11.000000,13.600000,10.910000,11.810000,9.936892,16888000
1999-02-01,12.140000,12.400000,9.820000,9.890000,8.321408,7753500
1999-03-01,10.400000,14.300000,10.270000,13.830000,11.636516,52019430
1999-04-01,13.940000,14.000000,11.600000,12.510000,10.525869,10770110
1999-05-01,13.400000,16.690001,12.630000,16.299999,13.844618,22143025
1999-06-01,16.100000,16.280001,14.520000,14.940000,12.689485,9446870
1999-07-01,15.080000,18.450001,14.460000,16.900000,14.354237,22808420
1999-08-01,16.600000,18.969999,15.740000,17.400000,14.778918,18807240
1999-09-01,17.320000,22.930000,16.750000,20.190001,17.148643,22683245
1999-10-01,20.200001,21.200001,17.420000,18.219999,15.475394,22965620
1999-11-01,18.600000,23.160000,17.799999,23.160000,19.671249,11695425
1999-12-01,23.799999,38.560001,22.600000,32.299999,27.434423,47685255
2000-01-01,16.500000,24.620001,15.700000,23.514999,19.972775,63946460
2000-02-01,24.000000,26.200001,21.629999,21.760000,18.482141,51797930
2000-03-01,22.200001,29.584999,22.200001,25.600000,21.743696,26303370
2000-04-01,26.100000,27.400000,18.900000,24.645000,20.932550,22146050
2000-05-01,24.645000,27.049999,21.094999,22.834999,19.547213,52686790
2000-06-01,22.600000,26.340000,22.500000,25.430000,21.768589,16009270
2000-07-01,25.575001,28.375000,22.200001,23.305000,19.949545,26788330
2000-08-01,23.299999,25.700001,21.900000,23.990000,20.535915,28676650
2000-09-01,23.990000,24.600000,21.400000,22.420000,19.191967,13525060
2000-10-01,22.420000,24.900000,22.200001,24.709999,21.152252,21756230
2000-11-01,25.100000,25.410000,21.420000,22.120001,18.935160,30115070
2000-12-01,21.910000,24.000000,21.110001,21.500000,18.404427,9407750
2001-01-01,21.500000,25.885000,21.500000,25.799999,22.085312,3170
2001-02-01,25.799999,26.500000,24.500000,25.799999,22.085312,3250
2001-03-01,25.799999,25.799999,21.245001,21.245001,18.186146,3050
2001-04-01,21.245001,22.260000,21.245001,22.260000,19.055004,1000
2001-05-01,22.260000,24.275000,22.260000,23.000000,19.875565,977430
2001-06-01,23.000000,23.000000,21.900000,21.900000,18.924994,60000
2001-07-01,21.000000,23.540001,19.959999,23.405001,20.225554,11028520
2001-08-01,23.825001,24.200001,22.500000,23.635000,20.424307,8243760
2001-09-01,23.500000,23.840000,18.584999,21.504999,18.583649,9165650
2001-10-01,21.625000,23.799999,20.504999,21.725000,18.773767,43126340
2001-11-01,21.799999,23.150000,21.549999,22.105000,19.102140,38035110
2001-12-01,22.100000,23.590000,21.514999,22.469999,19.417562,14124390
2002-01-01,22.459999,25.355000,22.000000,22.465000,19.413242,11342070
2002-02-01,22.690001,25.635000,22.000000,23.520000,20.324928,11506240
2002-03-01,24.100000,24.299999,22.950001,23.770000,20.540968,10103270
2002-04-01,23.750000,23.750000,21.799999,21.934999,18.955240,14189330
2002-05-01,21.934999,23.250000,21.004999,22.945000,19.828035,14999440
2002-06-01,23.250000,23.465000,21.315001,21.375000,18.685946,8298570
2002-07-01,20.420000,21.950001,20.100000,21.260000,18.585413,113947760
2002-08-01,21.105000,21.400000,20.000000,20.965000,18.327526,22779960
2002-09-01,21.084999,22.600000,20.805000,21.895000,19.140526,6523220
2002-10-01,21.600000,21.650000,18.700001,19.004999,16.614101,22602500
2002-11-01,19.010000,19.950001,18.850000,19.504999,17.051199,12631620
2002-12-01,19.525000,22.290001,18.799999,21.900000,19.144897,20312840
2003-01-01,21.975000,24.299999,21.184999,23.695000,20.714085,11781020
2003-02-01,23.000000,25.799999,23.000000,24.985001,21.841795,112610480
2003-03-01,25.049999,25.170000,22.299999,23.375000,20.434341,24097020
2003-04-01,23.400000,24.990000,23.000000,24.635000,21.535826,20041220
2003-05-01,24.635000,25.700001,24.020000,24.504999,21.688625,29664320
2003-06-01,24.424999,26.625000,23.955000,25.895000,22.918873,21091540
2003-07-01,25.995001,30.299999,25.299999,26.655001,23.591526,57000020
2003-08-01,26.790001,29.270000,26.315001,27.545000,24.379234,18792980
2003-09-01,27.900000,29.200001,26.299999,27.514999,24.352684,21157010
2003-10-01,27.700001,32.599998,27.670000,31.635000,27.999170,44824620
2003-11-01,32.000000,32.200001,29.025000,30.245001,26.768923,17178580
2003-12-01,30.490000,38.200001,30.450001,36.665001,32.451069,43369690
2004-01-01,36.200001,40.400002,34.119999,34.470001,30.508343,50687220
2004-02-01,34.470001,38.290001,32.799999,37.455002,33.150272,23487350
2004-03-01,37.500000,40.000000,33.599998,37.834999,33.486603,17817300
2004-04-01,38.005001,40.000000,37.000000,37.590000,33.269753,17650210
2004-05-01,38.490002,39.400002,26.200001,35.255001,31.203119,21975630
2004-06-01,35.299999,39.189999,34.500000,36.970001,33.023514,30727220
2004-07-01,37.000000,38.490002,34.805000,37.480000,33.479069,28458260
2004-08-01,37.305000,38.090000,35.400002,36.740002,32.818062,24995580
2004-09-01,36.799999,41.700001,36.500000,40.285000,35.984634,39435310
2004-10-01,40.790001,42.299999,39.705002,41.435001,37.011875,21978460
2004-11-01,41.599998,50.400002,41.555000,49.529999,44.242748,28656850
2004-12-01,49.599998,52.500000,46.450001,51.884998,46.346355,25533260
2005-01-01,52.200001,57.000000,46.115002,56.439999,50.415119,27496490
2005-02-01,56.700001,59.900002,55.064999,58.689999,52.424931,21938790
2005-03-01,58.900002,62.994999,50.799999,54.424999,48.615211,136428460
2005-04-01,54.494999,57.325001,51.205002,53.720001,47.985470,18415640
2005-05-01,54.990002,56.400002,51.500000,54.005001,48.240047,13317060
2005-06-01,53.599998,545.000000,53.404999,63.410000,57.116833,174596533
2005-07-01,62.500000,72.489998,60.000000,68.550003,61.746712,45142470
2005-08-01,67.550003,68.800003,62.855000,64.014999,57.661789,27807090
2005-09-01,64.300003,73.739998,62.810001,68.754997,61.931362,16105280
2005-10-01,68.800003,71.500000,60.299999,60.599998,54.585709,19625140
2005-11-01,63.299999,70.900002,61.599998,68.754997,61.931362,143849630
2005-12-01,68.989998,74.855003,67.025002,70.745003,63.723858,24450520
2006-01-01,71.089996,77.400002,70.699997,76.254997,68.687004,27500740
2006-02-01,76.790001,77.599998,70.525002,73.605003,66.300034,23207540
2006-03-01,73.800003,79.000000,72.599998,77.349998,69.673347,170094160
2006-04-01,76.500000,830.000000,76.254997,826.599976,744.563477,31656596
2006-05-01,81.974998,89.800003,71.000000,74.019997,66.673836,38551400
2006-06-01,74.000000,81.089996,62.000000,79.114998,71.716904,29259340
2006-07-01,74.000000,81.900002,69.309998,79.504997,72.070435,35236460
2006-08-01,79.004997,87.000000,76.400002,85.315002,77.337135,29755240
2006-09-01,84.000000,94.489998,80.500000,92.599998,83.940895,19692090
2006-10-01,92.599998,107.500000,88.800003,100.404999,91.016052,24269540
2006-11-01,101.699997,115.000000,98.120003,111.839996,101.381744,22842430
2006-12-01,112.199997,113.500000,99.500000,106.974998,96.971687,15510830
2007-01-01,106.974998,110.495003,98.055000,107.815002,97.733147,29104080
2007-02-01,107.970001,112.400002,90.360001,93.260002,84.539200,58552790
2007-03-01,95.699997,103.000000,89.000000,94.940002,86.062080,32887910
2007-04-01,93.000000,104.500000,89.500000,102.614998,93.019379,43357880
2007-05-01,102.614998,120.400002,98.029999,113.974998,103.317101,42249410
2007-06-01,115.599998,118.099998,105.035004,114.410004,104.418404,16101480
2007-07-01,115.300003,125.699997,112.000000,119.864998,109.397003,21090870
2007-08-01,118.870003,119.699997,105.029999,117.129997,106.900841,19674240
2007-09-01,118.500000,145.899994,115.625000,143.904999,131.337555,16062130
2007-10-01,144.804993,169.800003,130.800003,165.309998,150.873245,26768030
2007-11-01,168.500000,179.899994,142.500000,171.899994,156.887680,15965560
2007-12-01,174.899994,179.800003,161.554993,172.779999,157.690857,11194350
2008-01-01,172.800003,182.500000,132.505005,156.800003,143.106415,31220740
2008-02-01,159.899994,161.500000,135.800003,145.345001,132.651794,29915710
2008-03-01,143.940002,147.000000,110.000000,131.994995,120.467659,19338190
2008-04-01,132.000000,156.110001,127.099998,151.485001,138.255600,20478880
2008-05-01,151.485001,157.500000,130.800003,135.785004,124.624542,15198130
2008-06-01,150.199997,150.199997,99.339996,100.230003,91.991882,31772690
2008-07-01,100.610001,126.500000,89.000000,109.525002,100.522919,72788190
2008-08-01,106.985001,133.470001,104.500000,127.724998,117.227013,61220980
